%SOC start, 50.0
time,C_rate
320,-1.9671
321,-2.2245
322,-0.72606
323,-0.44352
324,-0.19693
325,-0.68552
326,-0.63235
327,-1.2679
328,-0.54351
329,-0.82297
330,-0.72933
331,-0.42901
332,-0.048997
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0.10435
348,0.44891
349,0.79423
350,1.1409
351,1.4052
352,1.5113
353,1.6339
354,0.9773
355,1.2437
356,1.2527
357,1.4063
358,1.825
359,0.97877
360,1.0089
361,0.7582
362,0.96327
363,1.0855
364,1.2164
365,0.43626
366,0.64333
367,0.23694
368,0.029259
369,0.53855
370,1.1602
371,0.87655
372,0.35864
373,0.35864
374,0.35864
375,0.35864
376,0.35864
377,0.46538
378,0.68143
379,0.47336
380,0.25893
381,-0.066262
382,-0.602
383,-0.69701
384,-0.27903
385,-1.7676
386,-1.9475
387,-2.5837
388,-1.8449
389,-1.6591
390,-1.5309
391,-1.4284
392,-0.97232
393,-1.0914
394,-0.79287
395,-0.4928
396,-0.11707
397,0
398,0
399,0
400,0
401,0
402,0
403,0.27136
404,0.61621
405,0.96209
406,1.3096
407,1.6592
408,2.0117
409,1.9025
410,0.64906
411,1.6534
412,1.4574
413,1.1136
414,0.35613
415,0.17931
416,0.0003418
417,-0.089139
418,-0.17665
419,-0.43204
420,-2.2498
421,-2.2418
422,-1.9548
423,-1.664
424,-1.37
425,-1.0734
426,-0.77472
427,-0.47458
428,-0.094654
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0.34445
449,0.68947
450,1.0356
451,1.3835
452,1.7337
453,2.0868
454,2.4433
455,1.3167
456,1.3097
457,2.3258
458,1.6892
459,0.89759
460,1.5152
461,0.64834
462,0.86403
463,0.87969
464,0.25329
465,0.46538
466,0.46736
467,0.14736
468,0.038424
469,0.67115
470,0.35864
471,-0.068314
472,0.24638
473,0.24502
474,0.1387
475,0.34532
476,0.34532
477,0.34532
478,0.34532
479,0.34532
480,0.13659
481,0.44582
482,0.44775
483,0.65842
484,0.034506
485,0.13659
486,0.34205
487,0.34205
488,0.1345
489,0.13244
490,0.23298
491,-0.68894
492,-1.1717
493,-1.5071
494,-1.6056
495,-1.8347
496,-2.0581
497,-1.6244
498,-1.7878
499,-1.4951
500,-1.043
501,-0.87678
502,-0.63528
503,-0.3296
504,-0.02314
505,0
506,0
507,0
508,0
509,0
510,0
511,0.089645
512,0.23043
513,0.1993
514,0.42847
515,0.33416
516,0.32099
517,0.50725
518,0.82286
519,0.92859
520,0.92149
521,0.81218
522,0.76158
523,0.68879
524,0.78397
525,0.82382
526,0.72764
527,0.68476
528,0.48918
529,0.277
530,0.20432
531,0.20432
532,0.20432
533,0.20432
534,0.20432
535,0.64906
536,0.3631
537,0.36665
538,-0.092322
539,-0.092311
540,0.057199
541,0.20432
542,0.20432
543,-0.24042
544,-0.74299
545,-2.077
546,-1.7878
547,-1.4951
548,-1.1995
549,-0.90165
550,-0.60206
551,-0.30132
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0.34445
570,0.68947
571,0.97694
572,0.70715
573,0.70933
574,0.58941
575,0.12371
576,0.12371
577,0.37573
578,0.23193
579,0.12995
580,0.02499
581,-0.13128
582,0.073305
583,-0.027494
584,0.31708
585,0.17411
586,0.073891
587,-0.077907
588,0.070985
589,0.11933
590,0.16825
591,0.31708
592,0.42613
593,0.5987
594,0.52121
595,0.71306
596,0.63254
597,0.22359
598,0.22489
599,0.41477
600,0.42358
601,0.43245
602,0.24213
603,0.17677
604,0.17677
605,0.31019
606,0.85193
607,1.1735
608,0.87526
609,0.60147
610,0.6149
611,-0.49232
612,-2.3365
613,-2.0509
614,-1.7613
615,-1.4683
616,-1.1725
617,-0.87447
618,-0.57475
619,-0.24725
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0.16128
647,0.46982
648,0.60705
649,0.76477
650,0.64246
651,0.63803
652,1.1071
653,1.2178
654,0.96118
655,0.90849
656,0.89765
657,1.0143
658,0.77975
659,0.43283
660,0.51491
661,0.29312
662,0.29461
663,0.21842
664,0.37379
665,0.29911
666,0.22204
667,-0.17081
668,-0.16941
669,-1.2264
670,-1.3508
671,-1.6747
672,-1.0146
673,-0.80541
674,-1.1443
675,-0.91777
676,-0.68969
677,-0.35727
678,-0.13277
679,-0.10556
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0.087984
695,0.12919
696,0.30282
697,0.56337
698,0.63476
699,0.81445
700,0.53469
701,0.88248
702,0.26434
703,0.022046
704,0.11933
705,0.951
706,0.67411
707,0.65614
708,0.98677
709,0.80385
710,0.17677
711,-0.090078
712,0.56572
713,0.58271
714,0.32349
715,-0.50926
716,-0.42363
717,-0.53706
718,-1.3632
719,-1.4684
720,-1.2276
721,-0.98469
722,-0.68666
723,-0.27153
724,-0.17061
725,-0.060462
726,-0.085934
727,0.0032535
728,0.04328
729,0.33401
730,0.64046
731,0.89026
732,0.64246
733,0.92859
734,1.0638
735,0.98657
736,1.2517
737,1.1863
738,1.142
739,0.92503
740,0.96619
741,0.69347
742,0.63114
743,0.48113
744,0.57033
745,0.49629
746,0.24846
747,-0.0059307
748,0.16066
749,0.076055
750,-0.17438
751,-0.33637
752,-0.80729
753,-1.302
754,-1.206
755,-1.4273
756,-1.2664
757,-0.66341
